"","Subject","HFD","Treatment","Light.Dark","VO2","RER","Heat","Total.Activity","Lean.Mass","Fat.Mass","Percent.Fat.Mass","Body.Weight"
"1","4561",FALSE,"Rapamycin","Dark",86.388908592,0.876999343333333,11.4139207765333,500.366666666667,23.95,1.81,7.02639751552795,25.76
"2","4561",FALSE,"Rapamycin","Light",75.880724896,0.861783677142857,9.983795472,221.971428571429,23.95,1.81,7.02639751552795,25.76
"3","4561",TRUE,"Rapamycin","Dark",97.2345900235294,0.901197311111111,12.8994395735425,1203.07843137255,23.95,1.81,7.02639751552795,25.76
"4","4561",TRUE,"Rapamycin","Light",86.9710607152941,0.869792425210084,11.4562217025882,337.571428571429,23.95,1.81,7.02639751552795,25.76
"5","4562",FALSE,"Rapamycin","Dark",84.2497009427586,0.87284334137931,11.2553427007241,521.379310344828,24.84,1.45,5.51540509699505,26.29
"6","4562",FALSE,"Rapamycin","Light",82.7500286372222,0.8799879,11.0597717709722,247.916666666667,24.84,1.45,5.51540509699505,26.29
"7","4562",TRUE,"Rapamycin","Dark",91.5596027298693,0.897826741176471,12.281410409098,582.300653594771,24.84,1.45,5.51540509699505,26.29
"8","4562",TRUE,"Rapamycin","Light",88.1898668588235,0.860896946218487,11.7228176622857,176.638655462185,24.84,1.45,5.51540509699505,26.29
"9","4563",FALSE,"Vehicle","Dark",106.88300471931,0.843324751724138,13.6847859818621,464.655172413793,24.23,1.38,5.38852010933229,25.61
"10","4563",FALSE,"Vehicle","Light",85.8234807733333,0.812589413888889,10.9488799651111,267.083333333333,24.23,1.38,5.38852010933229,25.61
"11","4563",TRUE,"Vehicle","Dark",102.090982263636,0.894617795454545,13.2830389374091,612.850649350649,24.23,1.38,5.38852010933229,25.61
"12","4563",TRUE,"Vehicle","Light",95.0221037755555,0.841199667521368,12.2112180316667,159.299145299145,24.23,1.38,5.38852010933229,25.61
"13","4564",FALSE,"Vehicle","Dark",91.5705601351724,0.868978917241379,12.2676278286897,1053.62068965517,24.77,1.71,6.45770392749245,26.48
"14","4564",FALSE,"Vehicle","Light",81.5589818244444,0.837493686111111,10.8430308413333,314.277777777778,24.77,1.71,6.45770392749245,26.48
"15","4564",TRUE,"Vehicle","Dark",105.013338991895,0.90299601372549,14.1674245818562,1328.60130718954,24.77,1.71,6.45770392749245,26.48
"16","4564",TRUE,"Vehicle","Light",90.7049979518644,0.841805133050847,12.0577764333559,399.610169491525,24.77,1.71,6.45770392749245,26.48
"17","4565",FALSE,"Rapamycin","Dark",75.6434134203448,0.76240345862069,10.5117806671034,152.137931034483,26.39,2,7.04473406128919,28.39
"18","4565",FALSE,"Rapamycin","Light",84.8627720947222,0.888106477777778,12.1831800301667,286.972222222222,26.39,2,7.04473406128919,28.39
"19","4565",TRUE,"Rapamycin","Dark",86.0378804444445,0.909250548366013,12.4131397631111,584.43137254902,26.39,2,7.04473406128919,28.39
"20","4565",TRUE,"Rapamycin","Light",86.5421988916949,0.858714280508475,12.332283235517,310.161016949153,26.39,2,7.04473406128919,28.39
"21","4566",FALSE,"Rapamycin","Dark",115.395685342667,0.675759783333333,12.7588847631667,485.3,21.48,1.73,7.45368375700129,23.21
"22","4566",FALSE,"Rapamycin","Light",89.5293939037143,0.75725902,10.2249548858286,248.257142857143,21.48,1.73,7.45368375700129,23.21
"23","4566",TRUE,"Rapamycin","Dark",95.6540438103268,0.860875903921569,11.2719784600392,1668.98692810458,21.48,1.73,7.45368375700129,23.21
"24","4566",TRUE,"Rapamycin","Light",90.9519642573729,0.820329962711864,10.6065672474915,566.262711864407,21.48,1.73,7.45368375700129,23.21
"25","4567",FALSE,"Rapamycin","Dark",86.907676473,0.94780058,10.0822794189,564.233333333333,20.32,2.27,10.0486941124391,22.59
"26","4567",FALSE,"Rapamycin","Light",80.9183629877143,0.813990188571429,9.07621174902857,194.142857142857,20.32,2.27,10.0486941124391,22.59
"27","4567",TRUE,"Rapamycin","Dark",100.290497418947,0.914004310526316,11.5337386252303,757.085526315789,20.32,2.27,10.0486941124391,22.59
"28","4567",TRUE,"Rapamycin","Light",99.8319816847059,0.838142202521008,11.267980101,300.739495798319,20.32,2.27,10.0486941124391,22.59
"29","4568",FALSE,"Vehicle","Dark",104.909605784,0.83272861,13.2427343933,1111.2,23.47,1.84,7.26985381272224,25.31
"30","4568",FALSE,"Vehicle","Light",70.4711399231429,0.813523294285714,8.86468692102857,216.028571428571,23.47,1.84,7.26985381272224,25.31
"31","4568",TRUE,"Vehicle","Dark",110.687065356993,0.86371855620915,14.0982639082484,1366.28758169935,23.47,1.84,7.26985381272224,25.31
"32","4568",TRUE,"Vehicle","Light",91.9861138860684,0.819827167521368,11.5904055449402,344.752136752137,23.47,1.84,7.26985381272224,25.31
"33","4569",FALSE,"Rapamycin","Dark",87.68457061,0.93095307,12.220131469,449,25.62,1.68,6.15384615384615,27.3
"34","4569",FALSE,"Rapamycin","Light",76.4698896,0.870768491428571,10.502471928,220.571428571429,25.62,1.68,6.15384615384615,27.3
"35","4569",TRUE,"Rapamycin","Dark",91.428476354902,0.906599926143791,12.6574183921569,518.97385620915,25.62,1.68,6.15384615384615,27.3
"36","4569",TRUE,"Rapamycin","Light",79.5478644333333,0.850649785470086,10.86415897,139.589743589744,25.62,1.68,6.15384615384615,27.3
"37","4570",FALSE,"Vehicle","Dark",87.8806151241379,0.901977237931034,13.060596648069,452.448275862069,27.6,1.78,6.05854322668482,29.38
"38","4570",FALSE,"Vehicle","Light",82.2011847438889,0.87865625,12.1432627636667,246.944444444444,27.6,1.78,6.05854322668482,29.38
"39","4570",TRUE,"Vehicle","Dark",101.80407728366,0.911921447712418,15.1544158624444,894.771241830065,27.6,1.78,6.05854322668482,29.38
"40","4570",TRUE,"Vehicle","Light",90.15102258,0.89059955982906,13.3493816353333,252.188034188034,27.6,1.78,6.05854322668482,29.38
"41","4571",FALSE,"Vehicle","Dark",88.9899656551724,0.90559794137931,12.2013073965517,538.137931034483,25.27,2.13,7.77372262773723,27.4
"42","4571",FALSE,"Vehicle","Light",80.5546490277778,0.879383847222222,10.9728767822222,306.111111111111,25.27,2.13,7.77372262773723,27.4
"43","4571",TRUE,"Vehicle","Dark",93.2476438818182,0.908071278571429,12.7828482157143,559.077922077922,25.27,2.13,7.77372262773723,27.4
"44","4571",TRUE,"Vehicle","Light",87.7148565793103,0.861239810344828,11.886427257931,224.672413793103,25.27,2.13,7.77372262773723,27.4
