Diet,Mouse,Body Weight,Right.EWAT,Left EWAT,Right.IWAT,Left.IWAT,Right.Quad,Left.Quad,TS.Left,TS.Right,Heart
Control Diet,2774,35,1081.9,1075.2,607.4,676.6,236.9,235.4,173.5,187.4,126.5
Control Diet,2777,40.7,458.9,548.4,288,270.2,279.3,248.9,182.9,181.5,127.7
Control Diet,2778,39.8,,,,,,,,,
Control Diet,2792,41.2,1214.6,936.9,603.6,577.9,224,228.4,164.7,133,122.4
Control Diet,2791,37.5,,,,,,,,,
Control Diet,2797,30.8,267.7,248.6,185.6,184.5,223.9,241.8,171.9,173.6,129.1
High Protein Diet,2776,30.1,197.3,213.3,103.2,118.5,258.2,255.9,188.1,173.7,142.1
High Protein Diet,2784,37.1,,,,,,,,,
High Protein Diet,2781,31.4,575.4,548.8,348.8,327.5,265.3,249.4,200.1,195.2,133.6
High Protein Diet,2790,40.2,597.4,664.5,401.9,391.5,273.8,249.8,202.2,196.2,141.2
High Protein Diet,2795,32.8,221.7,236.6,168.5,149.7,262.3,249.6,176.7,181.6,124.6
High Protein Diet,2796,31.2,,,,,,,,,
